Qty	Value	Device	Package	Parts	Description		
3		1,6/0,8	1,6/0,8	B, PAD3, R	THROUGH-HOLE PAD		
1		2,54/1,0	2,54/1,0	12V	THROUGH-HOLE PAD		
1		22-23-2061	22-23-2061	X1	HEADER	MOLEX	22-23-2061
1		DIP03YL	DIP03YL	S1	DIL/CODE SWITCH	CTS	210-3MS
1		DO3316P	DO3316P	L1	COILCRAFT	COILCRAFT	DO3316P-154MLD
1		PINHD-1X4	1X04	JP1	PIN HEADER	HARWIN	M20-9770446
1	0.47uF	C-EUC0805	C0805	C3	CAPACITOR, European symbol		
1	100R	R-EU_R0805	R0805	R2	RESISTOR, European symbol		
5	10nF	C-EUC0805	C0805	C5, C6, C8, C10, C11	CAPACITOR, European symbol		
1	120uF	CPOL-EUC	PANASONIC_C	C1	POLARIZED CAPACITOR, European symbol		
6	1K	R-EU_R0805	R0805	R1, R3, R4, R5, R8, R9	RESISTOR, European symbol		
2	1uF	C-EUC1210	C1210	C4, C7	CAPACITOR, European symbol		
1	22-23-2041	22-23-2041	22-23-2041	X2	HEADER	MOLEX	22-23-2041
1	56uF	CPOL-EUC	PANASONIC_C	C2	POLARIZED CAPACITOR, European symbol		
1	5K	R-EU_R0805	R0805	R7	RESISTOR, European symbol		
2	BSS138K	BSS138K	SOT23	U$1, U$12	NCH MOSFET	ONSEMI	BSS138K
1	CSM-7X-DU	CSM-7X-DU	CSM-7X-DU	Q1	SMD CRYSTAL		
1	DMP2004K	DMP2004K	SOT23	U$10	PCH MOSFET	DIODES INC	DMP2004K
1	DNP	C-EUC0805	C0805	C9	CAPACITOR, European symbol		
1	DNP	R-EU_R0805	R0805	R6	RESISTOR, European symbol		
4	HOLE4	HOLE4	4,1	U$6, U$7, U$8, U$9			
1	LD1117	LD1117	SOT223	U$2	LDO	ST	LD1117S33TR
1	LM2594	LM2594	SO08	U$3	SWITCHING REGULATOR	TI	LM2594MX-5.0/NOPB
1	MBRS130	MBRS130	SMBJ	U$4	DIODE	ONSEMI	MBRS130
1	PDZ4.7B,115	PDZ4.7B,115	SOD323_ST	U$11	4.7V ZENER	NEXPERIA	PDZ4.7B,115
1	STM32F030XTSSOP20	STM32F030XTSSOP20	TSSOP-20	U1	MCU	ST	STM32F030F4P6
